,days_left,DummyEconomy,price
22986,18,1,4765
22997,18,1,5276
22998,18,1,5276
23008,18,1,5805
23009,18,1,5805
23012,18,1,5820
23074,18,1,6542
23077,18,1,6590
23148,19,1,3971
23166,19,1,4345
23167,19,1,4345
23172,19,1,4559
23173,19,1,4559
23174,19,1,4559
23175,19,1,4748
23179,19,1,4874
23200,19,1,5805
23201,19,1,5805
23204,19,1,5820
23238,19,1,6275
23241,19,1,6311
23242,19,1,6311
23290,19,1,7786
23351,20,1,4345
23352,20,1,4345
23357,20,1,4426
23359,20,1,4559
23361,20,1,4559
23371,20,1,5056
23390,20,1,5805
23425,20,1,6311
23447,20,1,6542
23448,20,1,6590
23472,20,1,8046
23549,21,1,4559
23552,21,1,4741
23553,21,1,4748
23554,21,1,4870
23555,21,1,4870
23565,21,1,5276
23566,21,1,5276
23571,21,1,5294
23581,21,1,5820
23618,21,1,6311
23619,21,1,6311
23636,21,1,6542
23643,21,1,7005
23657,21,1,7366
23660,21,1,7535
23714,22,1,3925
23715,22,1,3925
23743,22,1,4559
23747,22,1,4559
23764,22,1,5805
23765,22,1,5805
23804,22,1,6275
23807,22,1,6311
23808,22,1,6311
23842,22,1,7521
23916,23,1,4345
23924,23,1,4559
23925,23,1,4559
23926,23,1,4559
23927,23,1,4748
23930,23,1,4765
23933,23,1,5161
23934,23,1,5161
23936,23,1,5294
23949,23,1,5805
23950,23,1,5805
23985,23,1,6030
23996,23,1,6311
23997,23,1,6311
24014,23,1,6542
24033,23,1,7955
24074,24,1,3610
24096,24,1,4030
24110,24,1,4559
24111,24,1,4559
24117,24,1,4947
24127,24,1,5276
24128,24,1,5276
24141,24,1,5805
24142,24,1,5805
24213,24,1,7366
24215,24,1,7521
24224,24,1,7955
24265,25,1,3610
24287,25,1,4030
24298,25,1,4426
24300,25,1,4559
24304,25,1,4559
24305,25,1,4741
24306,25,1,4748
24326,25,1,5276
24327,25,1,5276
24334,25,1,5805
24335,25,1,5805
24338,25,1,5820
24405,25,1,6542
24406,25,1,6590
24456,26,1,3610
24457,26,1,3610
24468,26,1,3971
24494,26,1,4559
24495,26,1,4559
24496,26,1,4559
24497,26,1,4748
24499,26,1,4874
24507,26,1,5276
24509,26,1,5276
24515,26,1,5276
